database,keyword,title,authors,publisher,journal,issue,year,link
RISS,주거환경디자인,주거지역의 범죄예방환경디자인(CPTED)원리에 의한 지방의 정주여건환경분석-홍성 남산마을 CPTED 사업 중심으로-,"박현진,박신",더나은도시디자인포럼,2022,도시디자인저널,2022,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ca184427eb60f4fc47de9c1710b0298d&keyword=주거환경디자인
RISS,주거환경디자인,바이오필릭디자인을 적용한 저층주거지환경개선 연구,"홍세준(Hong, Se-Jun),김영권(Kim, Young-Kwon),전현우(Jeon, Hyun-Woo),박경도(Park, Kyung-Do)",한국생태환경건축학회,2023,한국생태환경건축학회 학술발표대회 논문집,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8db4853e83af36e0e9810257f7042666&keyword=주거환경디자인
RISS,주거환경디자인,IPA 분석을 이용한 저층주거밀집지역 어린이공원의 범죄예방환경디자인(CPTED)에 관한 연구,"이주영(Lee, Ju-Young),하미경(Ha, Mi-Kyoung)",한국주거학회,2024,한국주거학회 학술대회논문집,2024,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=25da3390ebf41ebad18150b21a227875&keyword=주거환경디자인
RISS,주거환경디자인,미국 텍사스주의 건축주거환경트랜드 :디자인구성요소의 변화 및 변환의 과정,최유승,한국주거학회,2023,住居,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=62fb438ab05c01bdc85d2949c297615a&keyword=주거환경디자인
RISS,주거환경디자인,1인가구 홈퍼니싱을 위한 모듈형 가구디자인연구 -주거환경중심으로,"강승완(Seungwan Kang),조정형(Jeong-hyeong Cho)",한국디자인학회,2022,한국디자인학회 학술발표대회 논문집,2022,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ed8e0f9a50523c016aae8a972f9116fb&keyword=주거환경디자인
RISS,주거환경디자인,지속 가능한디자인을 위한 미래 친환경주거의 방향성 연구,"배정은,이재규",한국공간디자인학회,2023,한국공간디자인학회논문집,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=b417a924452426b8e9810257f7042666&keyword=주거환경디자인
RISS,주거환경디자인,"건축디자인의 구성요소 분석, 변화 및 변환의 과정 - 미국 텍사스주의 건축주거환경트랜드 분석 -",최유승,한국주거학회,2022,住居,2022,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=26c1b205887388d8b7998d826d417196&keyword=주거환경디자인
RISS,주거환경디자인,고령자를 위한 바이오필릭디자인기반 하이브리드주거공간 모델,"이은지(Lee, Eun Ji),박성준(Park, Sung Jun)",한국실내디자인학회,2023,한국실내디자인학회 학술대회논문집,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=40e982695b5d7451b7998d826d417196&keyword=주거환경디자인
RISS,공간 마케팅,공간재생마케팅전략요소가 소비자 구매의도에 미치는 영향에 관한 연구 -중국 폐공장 재생 복합문화공간사례를 중심으로-,"심옥기,김경숙",한국공간디자인학회,2023,한국공간디자인학회논문집,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7227b48a9a4ad9cf6aae8a972f9116fb&keyword=공간 마케팅
RISS,공간 마케팅,성수동 코스메틱 팝업스토어의 체험마케팅공간요소 및  특성에 관한 연구,"김채겸,김주연,양지윤",한국공간디자인학회,2023,한국공간디자인학회논문집,2023,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=bd76e6016bc086524884a65323211ff0&keyword=공간 마케팅
